Id,Centred Broto-Moreau autocorrelation of lag 7 weighted by mass,CATS2D Lipophilic-Lipophilic at lag 03,CATS2D Lipophilic-Lipophilic at lag 06,Frequency of C - C at topological distance 3,Information Content index (neighborhood symmetry of 2-order),mean information content on the distance degree equality,Balaban-like index from distance/detour matrix,Balaban-like index from Barysz matrix weighted by mass,path/walk 5 - Randic shape index,ring perimeter,AgonistClass
24,50.255,39,19,52,4.565,4.582,20.8301,1.6519,0.121,18,agonist
58,15.965,29,8,33,4.243,3.722,20.8868,1.7414,0.11,17,agonist
84,45.412,5,0,33,4.756,4.725,11.316,1.385,0.093,28,inactive
100,17.578,3,0,5,3.788,3.337,12.1523,4.235,0.064,6,inactive
114,37.715,12,15,33,4.514,4.503,15.2285,2.0317,0.099,15,agonist
148,47.157,41,19,54,4.725,4.582,22.2199,1.8876,0.128,17,agonist
172,1.287,2,0,5,3.128,2.725,8.5992,3.1238,0.078,6,inactive
194,8.565,2,5,8,3.852,3.039,10.2539,2.7061,0.078,6,inactive
205,2.567,4,0,5,3.735,2.855,10.6986,3.7932,0.087,6,inactive
256,21.048,10,8,19,3.316,2.945,10.94,2.3122,0.092,12,inactive
355,30.722,28,10,44,4.758,4.393,21.9068,1.7815,0.114,17,agonist
453,0.763,5,0,7,2.727,2.197,8.4791,3.0154,0.066,6,inactive
521,0.751,2,0,5,3.236,2.413,10.0907,3.9081,0.079,6,inactive
538,26.977,38,15,44,4.218,4.263,21.2385,1.6759,0.111,17,agonist
553,34.101,29,13,44,4.554,4.484,21.7261,1.7179,0.119,17,agonist
576,50.23,8,6,17,3.787,4.307,27,5.3792,0.078,0,agonist
585,22.535,35,12,39,4.282,4.005,20.8972,1.6624,0.107,17,agonist
692,0,0,0,0,2.406,0.811,3,3.2217,0,0,inactive
698,21.316,34,10,38,3.959,4.297,21.3509,1.7115,0.11,17,agonist
710,4.839,0,0,3,3.208,2.503,5.7805,1.9162,0.044,3,inactive
820,11.738,6,12,9,2.178,2.401,10.6571,2.6129,0.093,18,inactive
958,16.014,0,5,6,3.393,2.918,11,4.8246,0.075,0,inactive
986,20.629,0,0,4,3.65,4.143,13.6958,3.5321,0.11,5,agonist
988,0,0,0,0,3.027,0.918,5,3.7407,0,0,inactive
1007,3.491,0,0,5,2.914,3.013,28,7.9135,0.047,0,inactive
1033,54.473,5,2,21,4.612,4.133,15.0414,3.2682,0.125,11,inactive
1043,13.602,0,0,2,3.41,3.022,9.2586,3.714,0.073,5,inactive
1058,16.566,5,6,15,3.982,3.971,11.9933,2.3749,0.082,12,inactive
1080,10.011,0,0,4,3.754,3.239,12,5.4623,0.032,0,inactive
1082,25.597,38,12,42,4.041,3.914,21.4828,1.7075,0.107,17,agonist
1130,6.883,2,6,10,3.244,3.24,10.6763,2.4793,0.086,12,inactive
1155,25.93,37,14,42,4.191,4.35,20.9667,1.6811,0.111,17,agonist
1156,35.659,34,16,41,4.187,4.564,20.735,1.6454,0.113,17,agonist
1157,17.869,1,6,7,3.391,2.948,17,3.7214,0.066,0,inactive
1173,7.152,4,8,12,3.036,3.5,10.8303,2.4668,0.089,12,inactive
1196,56.451,12,13,43,4.523,4.513,23.7859,2.5037,0.132,14,inactive
1209,29.308,36,12,44,4.31,4.085,21.383,1.7102,0.105,17,agonist
1220,28.591,9,8,29,3.556,3.418,20.0709,2.3565,0.126,14,inactive
1282,12.34,4,1,8,3.352,3.418,11,3.5071,0.069,0,inactive
1295,12.794,12,7,18,3.445,3.507,11.2043,2.3284,0.088,6,inactive
1327,1.386,0,0,1,3.614,2.689,11,6.2552,0.066,0,inactive
1347,13.339,0,0,8,2.572,2.468,13,3.508,0.047,0,inactive
1349,2.233,7,0,9,3.3,2.371,9.1454,3.0105,0.078,6,inactive
1415,31.468,3,5,24,4.397,4.162,13.3855,2.2482,0.084,12,inactive
1436,26.323,16,6,32,4.521,4.348,11.5185,1.474,0.09,23,agonist
1440,25.415,4,2,30,4.948,4.837,12.4627,1.3979,0.094,28,inactive
1444,61.486,25,12,47,4.974,4.601,22.4398,1.8635,0.107,17,agonist
1453,35.824,13,10,21,2.839,3.907,29,3.4098,0.059,0,inactive
1482,7.863,13,0,16,3.175,3.027,10.1261,2.4686,0.065,6,inactive
1483,0.949,4,0,5,2.953,0.811,8.3067,3.2666,0.08,6,inactive
1496,9.09,11,5,10,3.486,3.085,9.4493,2.4383,0.081,6,inactive
1524,99.035,13,13,48,5.233,5.24,18.6664,1.3491,0.133,27,agonist
1526,20.075,14,11,16,3.64,3.726,20,3.2285,0.054,0,agonist
1527,20.905,10,7,20,3.962,3.922,16.2742,2.3636,0.117,17,agonist
1528,17.916,6,9,13,3.884,3.725,11.8242,2.6141,0.081,6,agonist
1529,84.149,0,15,82,3.842,6.597,17.5474,1.2376,0.1,66,agonist
1530,24.468,30,12,33,2.972,2.555,11.4647,2.2438,0.105,18,agonist
1532,17.001,2,0,16,4.3,3.845,15.0299,3.6473,0.095,6,agonist
1533,43.978,7,7,37,5.156,5.232,14.3963,1.5494,0.089,25,agonist
1650,25.943,31,8,39,3.863,3.914,21.4828,1.6937,0.107,17,agonist
1652,38.465,23,10,44,4.638,4.607,22.5552,1.8312,0.112,17,agonist
1653,28.523,36,13,40,3.832,4.005,21.4465,1.6559,0.109,17,agonist
1654,38.481,36,16,44,4.486,4.574,17.6242,1.2916,0.108,23,agonist
1655,31.062,27,12,42,4.336,4.418,22.6769,1.8513,0.113,17,agonist
1657,22.469,34,10,38,4.053,4.297,21.3509,1.6927,0.11,17,agonist
1658,20.957,34,10,38,4.289,4.297,21.3509,1.7162,0.11,17,agonist
1660,19.804,33,10,37,4.413,4.107,20.9906,1.8402,0.107,17,agonist
1661,32.725,38,12,44,4.03,4.137,21.5174,1.6866,0.108,17,agonist
