Id,Centred Broto-Moreau autocorrelation of lag 7 weighted by mass,eta average core count,Geary autocorrelation of lag 1 weighted by polarizability,molecular multiple path count of order 9,path/walk 3 - Randic shape index,largest eigenvalue n. 1 of Burden matrix weighted by mass,largest eigenvalue n. 1 of Burden matrix weighted by polarizability,largest eigenvalue n. 2 of Burden matrix weighted by mass,Wiener-like index from detour matrix (detour index),valence connectivity index of order 4,AntagonistClass
2,42.552,0.494,1.223,6.016,0.352,3.979,4.006,3.797,4357,6.245,antagonist
4,26.391,0.548,0.614,5.901,0.327,4.132,3.962,3.951,963,2.658,antagonist
5,34.009,0.545,0.534,5.901,0.353,4.289,3.964,3.989,1152,2.783,antagonist
6,69.404,0.47,1.205,6.622,0.343,4.316,4.058,4.038,13801,9.48,antagonist
7,8.799,0.478,0.822,5.901,0.331,3.924,3.922,3.753,724,1.526,antagonist
8,38.143,0.486,1.354,5.522,0.312,3.988,3.917,3.897,2784,3.767,antagonist
9,1.74,0.436,1.197,2.303,0.359,3.924,3.861,3.295,442,2.305,antagonist
10,6.195,0.5,0.7,8.486,0.37,4.246,4.254,3.674,1581,2.743,antagonist
11,20.163,0.531,0.987,3.219,0.317,4.244,3.756,3.615,697,2.897,antagonist
13,61.633,0.486,1,7.919,0.343,4.272,4.086,4.12,10720,7.325,antagonist
14,8.367,0.482,0.932,6.468,0.332,3.92,3.891,3.813,968,1.509,antagonist
15,10.825,0.519,0.941,6.076,0.359,4.828,4.124,3.935,1430,4.002,antagonist
17,12.155,0.48,0.917,5.901,0.339,3.958,3.964,3.756,852,1.923,antagonist
18,72.457,0.486,1.278,8.222,0.337,4.738,4.113,4.716,15472,7.791,antagonist
19,26.067,0.542,0.748,4.489,0.369,4.347,3.875,3.933,1169,3.448,antagonist
20,22.535,0.534,0.771,4.234,0.326,4.373,3.872,3.908,907,3.242,antagonist
21,0,0.45,0.543,0,0.333,4.095,3.885,3.684,390,0.941,antagonist
24,50.255,0.484,1.051,6.805,0.39,4.135,4.101,3.906,6191,8.294,antagonist
26,22.664,0.484,1.149,5.817,0.393,4.021,4.037,3.778,2969,6.413,antagonist
27,25.233,0.483,0.959,6.46,0.343,3.96,3.966,3.79,1222,2.509,antagonist
28,11.993,0.47,1.008,6.655,0.356,3.971,3.955,3.734,1061,1.781,antagonist
29,16.777,0.5,0.808,8.742,0.376,4.203,4.212,3.856,2826,3.405,antagonist
30,10.933,0.488,0.839,6.477,0.348,3.975,3.978,3.739,792,1.711,antagonist
31,19.947,0.485,0.973,6.523,0.394,4.033,4.047,3.822,3286,5.822,antagonist
32,21.607,0.542,1.194,4.007,0.352,4.706,4.043,4.006,635,2.699,antagonist
33,73.08,0.483,1.268,8.248,0.336,4.738,4.112,4.717,16061,7.843,antagonist
36,22.309,0.486,1.067,6.581,0.397,4.035,4.048,3.826,3618,5.939,antagonist
38,38.229,0.487,1.125,6.711,0.336,4.002,4.002,3.869,2372,3.326,antagonist
39,8.828,0.49,0.676,6.351,0.326,4.095,3.889,3.929,1069,1.768,antagonist
40,6.817,0.476,0.842,5.942,0.313,3.907,3.882,3.754,696,1.294,antagonist
41,18.32,0.494,1.295,4.78,0.315,4.707,4.044,3.927,841,3.247,antagonist
42,21.056,0.472,0.796,7.463,0.359,4.056,4.026,3.774,2492,3.205,antagonist
43,4.791,0.487,0.797,5.932,0.316,3.938,3.947,3.663,492,1.284,antagonist
44,72.044,0.461,1.313,7.642,0.376,4.142,4.093,3.941,18288,7.762,antagonist
45,31.369,0.466,1.151,7.606,0.375,4.058,4.001,3.889,7231,4.341,antagonist
46,17.627,0.571,0.779,1.609,0.35,4.337,3.716,3.909,502,4.199,antagonist
47,197.495,0.742,0.985,2.565,0.302,6.927,3.868,6.917,910,3.643,antagonist
49,10.564,0.512,0.773,3.056,0.321,4.114,3.863,3.577,396,1.121,antagonist
50,29.26,0.48,1.151,6.117,0.32,3.986,3.974,3.911,2472,3.164,antagonist
51,39.956,0.488,1.227,4.808,0.356,3.955,3.919,3.769,885,2.169,antagonist
52,13.739,0.516,0.606,5.901,0.319,4.278,3.955,3.853,1062,2.66,antagonist
53,26.654,0.556,0.57,5.962,0.328,4.287,3.969,3.99,1086,3.011,antagonist
54,6.121,0.503,0.682,6.019,0.328,4.051,3.956,3.729,588,1.64,antagonist
57,19.85,0.476,1.015,6.417,0.384,4.026,4.039,3.804,2980,5.556,antagonist
58,15.965,0.483,1.017,6.416,0.381,4.027,4.038,3.807,2683,5.34,antagonist
59,25.774,0.483,1.018,5.768,0.343,3.943,3.954,3.8,1222,2.948,antagonist
60,7.228,0.458,0.761,7.03,0.344,3.994,3.937,3.807,1780,2.022,antagonist
61,8.092,0.469,0.776,5.901,0.337,3.946,3.92,3.752,783,1.457,antagonist
63,16.048,0.481,0.955,5.901,0.353,3.965,3.972,3.756,950,2.233,antagonist
64,10.324,0.49,0.942,5.768,0.34,3.952,3.965,3.743,741,1.9,antagonist
65,11.564,0.502,0.979,8.208,0.343,4.354,4.125,3.762,2153,3.339,antagonist
66,35.623,0.488,1.227,4.766,0.343,3.949,3.91,3.766,877,2.051,antagonist
67,22.96,0.452,1.06,7.208,0.311,3.95,3.928,3.887,5578,3.001,antagonist
69,8.996,0.493,0.909,4.067,0.337,4.114,3.86,3.595,556,1.157,antagonist
70,18.846,0.478,1.212,6.76,0.356,4.038,4.036,3.689,1568,2.332,antagonist
71,22.146,0.501,1.278,6.673,0.337,4.288,4.609,3.781,1615,5.938,antagonist
72,24.34,0.5,0.992,5.091,0.337,4.159,3.868,3.898,1835,2.959,antagonist
73,28.888,0.491,1.042,6.117,0.336,4.113,3.909,3.847,1640,3.217,antagonist
76,130.959,0.586,0.461,8.185,0.379,6.896,4.054,6.887,5346,5.574,antagonist
77,16.31,0.514,0.555,7.67,0.333,4.263,4.077,4.019,3280,4.612,antagonist
78,0,0.567,0.743,0,0.219,4.038,3.527,3.546,56,0.74,antagonist
79,76.173,0.643,0.485,6.411,0.376,6.897,4.006,6.89,1424,4.392,antagonist
80,45.304,0.556,1.418,0,0.335,4.452,3.875,3.872,826,4.502,antagonist
81,15.585,0.494,1.703,2.079,0.222,3.737,3.727,3.615,643,2.143,antagonist
83,29.974,0.493,0.965,6.88,0.359,4.009,4.018,3.85,2418,3.457,antagonist
84,45.412,0.482,1.116,6.716,0.341,4.116,3.921,3.906,6768,5.15,antagonist
85,12.132,0.429,1.14,5.448,0.322,4.001,3.889,3.634,994,1.287,antagonist
86,26.74,0.488,1.104,5.22,0.331,4.005,3.9,3.876,1327,2.402,antagonist
88,23.354,0.489,0.767,7.018,0.36,4.058,4.009,3.967,3317,3.716,antagonist
89,11.396,0.486,1.022,5.053,0.35,4.018,3.877,3.782,782,1.792,antagonist
92,0,0.616,0.515,0,0.354,4.386,3.768,3.558,109,2.66,antagonist
93,3.597,0.523,0.759,5.583,0.358,4.306,4.018,3.846,554,2.202,antagonist
94,0,0.507,0.758,3.841,0.348,4.095,3.913,3.406,314,1.629,antagonist
95,37.128,0.54,0.742,5.987,0.341,6.88,3.939,4.111,1301,3.78,antagonist
96,23.634,0.492,0.921,6.262,0.336,4.013,3.946,3.924,2017,2.953,antagonist
97,23.827,0.5,0.874,5.039,0.363,4.131,3.884,3.805,1160,2.84,antagonist
100,17.578,0.494,1.291,4.559,0.347,4.706,4.042,3.95,734,2.096,antagonist
102,13.208,0.425,1.114,5.633,0.32,4.002,3.889,3.668,1117,1.284,antagonist
103,14.21,0.5,0.813,5.834,0.384,4.131,4.016,3.988,1077,3.024,antagonist
104,13.683,0.427,1.124,6.22,0.354,4.024,3.905,3.803,1591,2.032,antagonist
105,30.662,0.487,0.888,8.115,0.336,4.358,4.153,3.865,6976,5.688,antagonist
107,29.184,0.489,1.049,5.724,0.351,4.02,3.952,3.911,1800,3.749,antagonist
108,29.115,0.48,1.116,6.94,0.342,4.035,3.966,3.873,2784,3.091,antagonist
109,32.703,0.498,0.944,5.68,0.327,4.109,3.921,3.838,1184,2.802,antagonist
110,32.684,0.489,1.071,5.79,0.342,4.019,3.949,3.907,1994,4.224,antagonist
111,23.787,0.461,1.002,5.894,0.333,4.105,3.913,3.834,1669,2.464,antagonist
112,50.844,0.519,1.446,2.944,0.27,4.325,4.13,3.658,2540,10.557,antagonist
113,21.534,0.495,1.66,2.485,0.228,3.742,3.744,3.646,1281,2.85,antagonist
116,6.188,0.49,0.664,8.773,0.373,4.223,4.227,3.671,1780,2.72,antagonist
117,47.599,0.488,1.155,6.805,0.342,4.008,4.009,3.877,2844,3.547,antagonist
118,18.077,0.467,0.789,8.018,0.369,4.093,4.046,3.812,4173,3.653,antagonist
119,27.268,0.498,0.921,6.475,0.332,4.107,3.922,3.874,1315,2.296,antagonist
120,18.559,0.494,1.679,2.303,0.226,3.74,3.736,3.633,926,2.496,antagonist
121,9.659,0.454,0.715,6.124,0.345,3.96,3.918,3.777,1043,1.569,antagonist
122,157.227,0.598,0.683,7.855,0.38,6.897,4.15,6.89,3784,7.142,antagonist
123,20.771,0.487,1.516,3.045,0.278,3.774,3.746,3.633,1496,3.065,antagonist
124,50.04,0.478,1.264,6.182,0.373,4.04,4.047,3.832,6755,8.14,antagonist
125,40.508,0.496,1.622,3.332,0.26,3.821,3.788,3.58,2221,4.371,antagonist
126,24.401,0.479,1.6,2.565,0.258,3.701,3.729,3.611,1414,2.795,antagonist
127,34.282,0.475,1.032,7.011,0.366,4.043,3.99,3.852,2641,3.202,antagonist
128,37.112,0.491,0.959,6.516,0.331,4.081,3.987,3.911,1788,3.179,antagonist
132,44.216,0.51,0.896,6.791,0.349,4.137,3.941,4.018,4372,4.862,antagonist
133,16.529,0.497,0.825,6.279,0.327,4.116,3.895,3.882,1260,1.932,antagonist
134,38.442,0.51,0.999,7.01,0.352,4.729,4.1,4.126,2703,4.224,antagonist
135,40.552,0.475,0.977,7.262,0.335,3.995,3.955,3.941,10411,4.527,antagonist
136,78.21,0.482,1.154,7.307,0.368,4.738,4.084,4.115,15644,9.649,antagonist
137,66.464,0.479,0.984,7.514,0.33,4.291,4.011,3.99,12059,7.203,antagonist
138,40.761,0.478,1.084,8.003,0.367,4.072,4.039,3.982,11349,6.646,antagonist
139,26.419,0.459,1.127,6.193,0.342,4.041,3.903,3.891,3726,3.497,antagonist
140,79.961,0.477,1.266,7.773,0.347,4.738,4.142,3.985,18682,8.521,antagonist
141,88.193,0.489,1.158,6.38,0.359,4.13,3.944,3.913,8604,7.157,antagonist
142,66.117,0.487,1.001,7.726,0.367,4.145,4.044,3.967,11452,6.146,antagonist
143,44.108,0.47,1.303,6.026,0.31,4.716,3.976,3.935,6384,4.74,antagonist
144,15.468,0.483,0.96,6.786,0.381,4.038,4.046,3.804,2683,4.732,antagonist
145,4.839,0.488,0.741,6.715,0.347,4.04,4.048,3.626,953,2.112,antagonist
146,5.467,0.489,0.72,7.787,0.356,4.137,4.14,3.645,1178,2.035,antagonist
147,20.586,0.479,1.04,7.171,0.373,4.15,4.092,3.885,2720,3.638,antagonist
148,47.157,0.477,1.167,6.678,0.391,4.061,4.066,3.854,5859,7.496,antagonist
149,39.289,0.485,1.07,7.414,0.318,4.003,4.009,3.788,3288,3.372,antagonist
151,34.136,0.491,1.149,6.102,0.326,4.742,4.108,3.941,2689,4.923,antagonist
152,29.542,0.444,1.1,7.224,0.308,3.977,3.925,3.811,3986,2.859,antagonist
153,47.177,0.458,1.314,7.301,0.354,3.995,3.896,3.883,9481,5.582,antagonist
154,42.669,0.49,0.934,7.481,0.359,6.88,3.909,3.979,6522,4.139,antagonist
156,28.748,0.477,1.191,5.011,0.343,3.985,3.974,3.858,1498,3.07,antagonist
157,24.75,0.452,1.124,6.075,0.337,4.743,4.11,3.943,3170,3.969,antagonist
159,3.644,0.461,1.007,0,0.273,3.855,3.825,3.427,262,0.748,inactive
163,0,0.475,1.115,0,0.167,3.477,3.433,2.649,10,0,inactive
175,6.796,0.449,1.085,3.841,0.299,3.885,3.846,3.405,414,0.887,inactive
193,18.83,0.471,1.15,5.833,0.315,3.925,3.893,3.817,2100,2.027,inactive
197,21.478,0.49,1.247,0,0.324,3.965,3.967,3.541,628,1.922,inactive
198,3.74,0.485,1.118,0,0.3,3.887,3.895,3.43,248,0.961,inactive
200,8.468,0.448,1.546,4.875,0.399,3.998,3.804,3.475,664,1.471,inactive
201,0,0.467,1.404,0,0.271,3.708,3.673,3.156,142,0.904,inactive
221,6.001,0.436,1.645,0,0.228,3.665,3.539,3.409,184,0.526,inactive
229,0,0.516,0.524,0,0.267,4.057,3.378,3.051,29,0,inactive
233,10.288,0.495,0.802,4.123,0.321,4.089,3.851,3.617,474,1.265,inactive
243,0,0.5,2.363,0,0.281,4.374,3.818,2.912,31,0.25,inactive
244,0,0.5,2.078,0,0.302,4.44,3.932,2.912,44,0.224,inactive
322,1.241,0.442,1.03,0,0.34,3.957,3.85,3.507,320,0.835,inactive
332,0,0.448,1.858,0,0.321,3.569,3.453,3.04,48,0.339,inactive
333,0,0.427,2.187,0,0.2,3.457,3.246,2.68,18,0,inactive
341,6.157,0.57,0.58,0,0.403,4.295,3.896,3.744,388,2.039,inactive
352,4.737,0.508,0.375,0,0.372,4.177,3.823,3.688,386,1.262,inactive
354,27.918,0.465,1.521,5.131,0.296,3.951,3.91,3.57,2713,2.531,inactive
361,6.464,0.497,0.817,0,0.292,3.982,3.724,3.526,268,1.155,inactive
366,16.617,0.476,1.278,7.919,0.344,4.735,4.141,4.718,4332,4.36,inactive
371,4.275,0.472,1.136,3.933,0.325,3.92,3.88,3.424,471,1.235,inactive
378,1.192,0.444,1.424,4.627,0.396,3.974,3.776,3.436,562,1.269,inactive
382,1.273,0.459,1.055,4.722,0.312,3.903,3.871,3.383,410,0.89,inactive
392,1.387,0.5,1.111,0,0.322,3.884,3.904,3.139,162,0.891,inactive
413,9.044,0.472,1.523,1.609,0.224,3.655,3.686,3.505,277,1.233,inactive
428,0.52,0.452,1.547,0,0.209,3.589,3.572,3.21,52,0.328,inactive
448,4.127,0.491,1.29,0,0.334,3.852,3.841,3.416,254,1.228,inactive
469,0,0.512,0.961,0,0.167,3.766,3.325,2.859,10,0,inactive
483,3.512,0.479,1.61,0,0.223,3.596,3.64,3.317,84,0.715,inactive
490,32.487,0.476,1.402,5.237,0.289,3.918,3.883,3.624,3508,3.089,inactive
497,6.029,0.492,0.87,5.614,0.297,3.89,3.879,3.729,504,1.21,inactive
503,3.542,0.487,0.827,7.233,0.35,4.161,4.109,3.595,815,1.675,inactive
504,10.168,0.481,1.283,3.726,0.344,3.897,3.885,3.544,453,1.471,inactive
517,8.36,0.472,1.504,2.197,0.277,3.764,3.72,3.52,323,1.585,inactive
541,9.434,0.471,0.95,5.981,0.344,3.949,3.922,3.757,900,1.575,inactive
545,6.024,0.472,1.129,2.409,0.327,3.887,3.867,3.378,332,0.99,inactive
548,23.099,0.468,0.934,6.209,0.321,3.969,3.975,3.756,1338,2.471,inactive
569,17.034,0.463,1.263,4.582,0.269,3.878,3.864,3.605,1082,1.528,inactive
577,140.293,0.456,1.551,5.565,0.379,3.926,3.861,3.79,18276,8.41,inactive
578,0.824,0.463,1.114,0,0.333,3.838,3.809,3.063,166,0.63,inactive
586,8.678,0.487,1.183,0,0.346,3.919,3.921,3.428,396,1.512,inactive
614,22.895,0.471,2.109,0,0.329,4.435,3.847,3.656,400,1.358,inactive
634,0,0.452,2.399,0,0.302,4.698,3.771,2.912,44,0.204,inactive
647,21.279,0.462,0.951,6.916,0.337,3.997,3.968,3.843,2377,2.599,inactive
662,0,0.557,1.362,0,0.302,4.606,3.976,3.21,44,0.671,inactive
664,11.801,0.481,1.028,4.109,0.286,4.008,3.866,3.585,608,1.407,inactive
670,0,0.569,0.55,0,0.301,4.282,3.803,3.896,252,1.046,inactive
685,8.847,0.484,1.166,2.409,0.337,4.237,3.843,3.541,499,1.771,inactive
693,0,0.508,1.074,0,0.283,3.929,3.677,3.235,67,0.402,inactive
719,5.795,0.485,1.348,0,0.24,3.716,3.738,3.516,194,0.788,inactive
729,0,0.813,0.512,0,0.2,7.077,3.505,6.652,18,0,inactive
733,0,0.466,1.053,0,0.378,4.006,3.474,3.612,260,0.715,inactive
764,5.394,0.467,1.529,0,0.297,3.694,3.688,3.349,134,0.953,inactive
768,0.462,0.5,1.061,0,0.354,3.931,3.959,3.242,187,1.987,inactive
783,4.376,0.461,1.066,2.151,0.342,3.879,3.852,3.308,264,0.793,inactive
787,3.833,0.455,1.098,2.151,0.342,3.873,3.842,3.308,264,0.756,inactive
795,19.943,0.483,1.456,3.091,0.235,3.703,3.744,3.606,1313,2.347,inactive
807,0,0.524,0.569,5.418,0.402,4.276,3.954,3.701,775,2.208,inactive
815,12.72,0.485,2.175,0,0.299,4.435,3.842,3.225,166,1.758,inactive
816,1.196,0.44,0.867,5.388,0.355,3.982,3.923,3.471,658,1.218,inactive
821,38.196,0.549,1.437,0,0.258,4.034,3.549,3.754,300,1.938,inactive
825,0,0.489,0.992,0,0.345,3.88,3.883,3.067,164,0.827,inactive
833,0,0.5,1.204,0,0.386,3.971,3.999,3.253,236,2.541,inactive
853,8.616,0.479,1.1,4.722,0.294,3.845,3.83,3.796,856,1.352,inactive
861,0,0.5,1.111,0,0.289,3.882,3.903,3.067,162,1.202,inactive
901,15.281,0.5,1.563,2.079,0.237,3.677,3.729,3.569,680,2.268,inactive
907,2.383,0.5,1.25,0,0.307,3.827,3.857,3.383,204,1.304,inactive
915,6.414,0.47,1.2,3.446,0.263,3.825,3.815,3.454,270,0.734,inactive
916,22.093,0.511,1.954,0,0.305,4.136,4.36,3.346,320,3.959,inactive
931,14.843,0.463,1.343,4.043,0.315,3.913,3.862,3.855,1232,3.352,inactive
939,0,0.578,0.512,0,0.3,4.283,3.882,3.919,248,1.143,inactive
945,1.232,0.489,1.636,0,0.267,3.756,3.68,3.303,96,0.865,inactive
959,7.816,0.544,0.736,5.859,0.312,6.88,3.886,3.883,710,1.666,inactive
967,1.192,0.426,1.922,0,0.288,3.635,3.447,3.23,100,0.262,inactive
969,6.811,0.479,0.983,5.211,0.311,3.881,3.87,3.801,808,1.381,inactive
970,0,0.472,1.297,0,0.277,3.737,3.727,2.782,54,0.769,inactive
974,0,0.613,0.812,0,0.2,4.057,3.502,3.006,18,0,inactive
980,27.011,0.49,1.263,0,0.329,3.971,3.973,3.541,730,2.042,inactive
995,5.364,0.463,1.758,0,0.258,3.581,3.549,3.372,110,0.482,inactive
1002,21.047,0.47,1.371,5.16,0.299,3.916,3.881,3.552,1727,2.028,inactive
1004,3.699,0.358,1.526,3.332,0.44,3.977,3.675,3.82,2250,1.495,inactive
1016,14.627,0.468,1.054,6.389,0.319,4.007,3.84,3.841,2193,1.802,inactive
1021,0,0.533,0.555,0,0.353,4.102,3.878,3.582,214,1.087,inactive
1034,24.717,0.479,1.126,5.686,0.323,4.003,3.845,3.862,1146,1.818,inactive
1042,13.311,0.457,1.41,4.722,0.308,3.889,3.804,3.523,901,1.182,inactive
1074,6.527,0.484,0.864,4.925,0.3,4.184,3.83,3.831,655,1.433,inactive
1098,15.779,0.444,1.411,7.247,0.34,3.953,3.858,3.815,4638,2.366,inactive
1106,2.836,0.545,0.626,0,0.324,6.88,3.861,3.859,256,1.048,inactive
1119,23.885,0.514,1.357,4.047,0.325,4.707,4.029,4.027,799,3.387,inactive
1133,33.855,0.535,1.233,2.197,0.34,4.638,4.049,3.924,562,7.613,inactive
1136,15.544,0.475,0.989,5.278,0.312,4.319,3.856,3.831,1074,2.512,inactive
1137,3.016,0.485,1.118,0,0.326,3.896,3.898,3.359,260,1.142,inactive
1141,10.969,0.488,1.268,3.611,0.309,3.877,3.901,3.526,497,2.215,inactive
1173,7.152,0.469,0.908,6.019,0.311,3.909,3.876,3.762,822,1.317,inactive
1180,6.539,0.621,1.675,0,0.294,4.296,4.638,3.921,156,6.852,inactive
1207,18.834,0.463,1.337,5.019,0.297,3.917,3.881,3.508,943,1.394,inactive
1209,29.308,0.479,1.157,5.984,0.404,4.033,4.044,3.82,3942,7.154,inactive
1229,0,0.447,1.39,0,0.369,3.832,3.699,3.206,181,0.829,inactive
1246,6.995,0.485,1.448,1.946,0.231,3.663,3.697,3.472,220,0.912,inactive
1252,7.175,0.47,1.67,0.693,0.25,3.636,3.6,3.469,202,0.814,inactive
1254,32.227,0.46,1.446,4.043,0.301,3.843,3.741,3.683,3732,3.352,inactive
1268,34.058,0.466,1.316,8.383,0.331,4.742,4.166,4.707,5746,4.207,inactive
1270,15.439,0.474,1.257,8.153,0.354,4.77,4.175,4.674,4695,4.61,inactive
1272,37.893,0.476,1.273,8.084,0.318,4.734,4.096,4.715,11428,5.262,inactive
1274,21.187,0.483,1.152,6.813,0.314,4.12,3.999,3.663,2334,2.58,inactive
1275,0,0.483,1.419,0,0.284,3.813,3.837,3.243,203,2.296,inactive
1279,8.673,0.476,1.259,3.841,0.267,3.862,3.874,3.586,453,1.513,inactive
1292,0,0.5,0.84,0,0.332,3.944,3.963,3.276,248,1.196,inactive
1294,0,0.485,1.281,0,0.425,3.973,3.99,3.094,288,3.162,inactive
1307,19.704,0.494,1.635,2.398,0.247,3.691,3.71,3.58,905,2.436,inactive
1326,12.619,0.481,1.142,7.151,0.333,4.736,4.07,3.989,1902,2.836,inactive
1328,16.032,0.468,1.223,6.448,0.343,4.724,4.05,3.906,1452,2.5,inactive
1331,5.277,0.525,2.025,0,0.373,4.124,4.356,3.225,121,2.587,inactive
1336,9.044,0.472,1.653,1.609,0.224,3.637,3.663,3.488,277,1.098,inactive
1345,27.312,0.491,1.177,5.307,0.341,4.032,4.041,3.594,1150,2.864,inactive
1362,22.695,0.468,1.623,2.708,0.256,3.698,3.687,3.601,1400,1.874,inactive
1387,41.202,0.461,1.22,6.688,0.344,4.744,4.088,3.871,3942,5.652,inactive
1400,12.746,0.468,1.154,6.233,0.351,4.054,3.964,3.854,1796,3.363,inactive
1423,29.64,0.474,1.205,5.646,0.307,3.93,3.887,3.861,3911,3.769,inactive
1436,26.323,0.475,0.965,7.201,0.344,3.978,3.942,3.892,4486,3.757,inactive
1466,3.971,0.526,0.652,7.233,0.35,4.396,4.202,3.595,815,2.781,inactive
1490,6.807,0.478,1.207,3.498,0.28,3.848,3.824,3.475,340,0.898,inactive
1500,6.162,0.478,0.945,5.433,0.312,3.888,3.864,3.772,682,1.229,inactive
1511,7.248,0.5,1.208,4.111,0.25,3.727,3.766,3.455,576,1.284,inactive
1517,32.141,0.481,1.124,6.329,0.319,3.979,3.973,3.885,2838,3.095,inactive
1523,21.933,0.473,1.189,4.261,0.276,3.99,3.812,3.812,1423,2.378,inactive
1648,35.581,0.481,1.079,6.768,0.385,4.141,4.15,3.939,5874,9.449,antagonist
1649,30.888,0.461,0.909,7.06,0.373,4.107,3.948,3.901,4369,3.943,antagonist
